id,lon,lat,x,y,xp,yp
NW,41.795672,-87.578905,0.000000,4.504170,546,1498
SS,41.795637,-87.578869,3.026223,0.643063,1706,1082
C1S,41.795631,-87.578837,5.691722,0.000000,1708,878
C1N,41.795674,-87.578838,5.566690,4.775179,922,874
C2S,41.795632,-87.578800,8.765968,0.138059,1638,726
C2N,41.795674,-87.578800,8.725022,4.802900,1010,710
C3NC,41.795672,-87.578750,12.882673,4.617242,1088,582
C3SS,41.795635,-87.578755,12.503176,0.504092,1566,606
